,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,OHLC Avg Price,Day_Perc_Change,Trend
29,2019-09-13,1839.34,1842.01,1846.12,1835.17,1970000.0,9,2019,1760.5626167915382,1840.6599999999999,0.01742410832817054,Slight or No change
30,2019-09-12,1843.55,1837.63,1853.66,1834.28,2820000.0,9,2019,1763.0634120538577,1842.28,0.0022888644839997863,Slight or No change
31,2019-09-11,1822.99,1812.14,1833.42,1809.08,2430000.0,9,2019,1764.580145818144,1819.4075,-0.011152396192129266,Slight or No change
32,2019-09-10,1820.55,1822.75,1825.81,1805.34,2610000.0,9,2019,1766.0614003244777,1818.6125000000002,-0.0013384604413628765,Slight or No change
33,2019-09-09,1831.35,1841.0,1850.0,1824.61,3000000.0,9,2019,1767.9888338909664,1836.74,0.005932273214138473,Slight or No change
34,2019-09-06,1833.51,1838.22,1840.65,1826.4,2500000.0,9,2019,1769.5620466769112,1834.6950000000002,0.0011794577770498638,Slight or No change
35,2019-09-05,1840.72,1821.95,1842.0,1815.58,3330000.0,9,2019,1771.7673140995812,1830.0625,0.003932348337342129,Slight or No change
36,2019-09-04,1800.62,1805.0,1807.63,1796.23,2330000.0,9,2019,1772.379691200583,1802.37,-0.02178495371376421,Slight or No change
37,2019-09-03,1789.84,1770.0,1800.8,1768.0,3550000.0,9,2019,1772.9266257831114,1782.16,-0.0059868267596716596,Slight or No change
38,2019-08-30,1776.29,1797.49,1799.74,1764.57,3060000.0,8,2019,1773.0150519804106,1784.5224999999998,-0.00757050909578505,Slight or No change
39,2019-08-29,1786.4,1783.0,1798.55,1777.25,3020000.0,8,2019,1773.3535708902102,1786.3,0.00569163818971008,Slight or No change
40,2019-08-28,1764.25,1755.0,1767.86,1744.05,2420000.0,8,2019,1773.1727398834441,1757.79,-0.012399238692342163,Slight or No change
41,2019-08-27,1761.83,1775.73,1779.4,1746.68,3030000.0,8,2019,1772.8974835816114,1765.91,-0.001371687685985612,Slight or No change
42,2019-08-26,1768.87,1766.91,1770.0,1743.51,3090000.0,8,2019,1772.800219617038,1762.3225,0.003995845229108452,Slight or No change
43,2019-08-23,1749.62,1793.03,1804.9,1745.23,5280000.0,8,2019,1771.8815709674998,1773.1949999999997,-0.010882653897686057,Slight or No change
44,2019-08-22,1805.6,1828.0,1829.41,1800.1,2660000.0,8,2019,1772.5415976157185,1815.7775000000001,0.03199551902698872,Slight or No change
45,2019-08-21,1823.54,1819.39,1829.58,1815.0,2040000.0,8,2019,1773.2958696440223,1821.8775,0.009935755427558757,Slight or No change
46,2019-08-20,1801.38,1814.5,1816.82,1799.88,1930000.0,8,2019,1773.683416988417,1808.145,-0.01215218750342728,Slight or No change
47,2019-08-19,1816.12,1818.08,1826.0,1812.61,2820000.0,8,2019,1774.5221551724137,1818.2024999999999,0.008182615550300198,Slight or No change
